seed	bioma	dish	trat	pop	status						
145	TF	1cq	control	queules	0						
146	TF	1cq	control	queules	0						
147	TF	1cq	control	queules	0						
148	TF	1cq	control	queules	1						
149	TF	2cq	control	queules	0						
150	TF	2cq	control	queules	0						
151	TF	2cq	control	queules	1						
152	TF	2cq	control	queules	1						
153	TF	3cq	control	queules	0						
154	TF	3cq	control	queules	0						
155	TF	3cq	control	queules	0						
156	TF	3cq	control	queules	1						
157	TF	1dh	dispersor 	Huillinco	1						
158	TF	1dh	dispersor 	Huillinco	1						
159	TF	1dh	dispersor 	Huillinco	1						
160	TF	1dh	dispersor 	Huillinco	1						
161	TF	2dh	dispersor 	Huillinco	1						
162	TF	2dh	dispersor 	Huillinco	1						
163	TF	2dh	dispersor 	Huillinco	1						
164	TF	2dh	dispersor 	Huillinco	1						
165	TF	3dh	dispersor 	Huillinco	1						
166	TF	3dh	dispersor 	Huillinco	1						
167	TF	3dh	dispersor 	Huillinco	1						
168	TF	3dh	dispersor 	Huillinco	1						
169	TF	4dh	dispersor 	Huillinco	1						
170	TF	4dh	dispersor 	Huillinco	1						
171	TF	4dh	dispersor 	Huillinco	1						
172	TF	4dh	dispersor 	Huillinco	1						
173	TF	5dh	dispersor 	Huillinco	1						
174	TF	5dh	dispersor 	Huillinco	1						
175	TF	5dh	dispersor 	Huillinco	1						
176	TF	5dh	dispersor 	Huillinco	1						
177	TF	1hh	handcleaned 	Huillinco	0						
178	TF	1hh	handcleaned 	Huillinco	1						
179	TF	1hh	handcleaned 	Huillinco	1						
180	TF	1hh	handcleaned 	Huillinco	1						
181	TF	2hh	handcleaned 	Huillinco	1						
182	TF	2hh	handcleaned 	Huillinco	1						
183	TF	2hh	handcleaned 	Huillinco	1						
184	TF	2hh	handcleaned 	Huillinco	1						
185	TF	3hh	handcleaned 	Huillinco	0						
186	TF	3hh	handcleaned 	Huillinco	1						
187	TF	3hh	handcleaned 	Huillinco	1						
188	TF	3hh	handcleaned 	Huillinco	1						
189	TF	4hh	handcleaned 	Huillinco	1						
190	TF	4hh	handcleaned 	Huillinco	0						
191	TF	4hh	handcleaned 	Huillinco	0						
192	TF	4hh	handcleaned 	Huillinco	0						
193	TF	5hh	handcleaned 	Huillinco	1						
194	TF	5hh	handcleaned 	Huillinco	1						
195	TF	5hh	handcleaned 	Huillinco	1						
196	TF	5hh	handcleaned 	Huillinco	1						
197	TF	1ch	control	Huillinco	0						
198	TF	1ch	control	Huillinco	0						
199	TF	1ch	control	Huillinco	0						
200	TF	1ch	control	Huillinco	0						
201	TF	2ch	control	Huillinco	1						
202	TF	2ch	control	Huillinco	0						
203	TF	2ch	control	Huillinco	0						
204	TF	2ch	control	Huillinco	0						
205	TF	3ch	control	Huillinco	0						
206	TF	3ch	control	Huillinco	1						
207	TF	3ch	control	Huillinco	1						
208	TF	3ch	control	Huillinco	0						
209	TF	4ch	control	Huillinco	0						
210	TF	4ch	control	Huillinco	0						
211	TF	4ch	control	Huillinco	0						
212	TF	4ch	control	Huillinco	0						
213	TF	5ch	control	Huillinco	0						
214	TF	5ch	control	Huillinco	0						
215	TF	5ch	control	Huillinco	0						
216	TF	5ch	control	Huillinco	0						
217	MC	1dyl	dispersor 	YerbaLoca	1						
218	MC	1dyl	dispersor 	YerbaLoca	1						
219	MC	1dyl	dispersor 	YerbaLoca	1						
220	MC	1dyl	dispersor 	YerbaLoca	1						
221	MC	2dyl	dispersor 	YerbaLoca	1						
222	MC	2dyl	dispersor 	YerbaLoca	1						
223	MC	2dyl	dispersor 	YerbaLoca	1						
224	MC	2dyl	dispersor 	YerbaLoca	1						
225	MC	3dyl	dispersor 	YerbaLoca	1						
226	MC	3dyl	dispersor 	YerbaLoca	1						
227	MC	3dyl	dispersor 	YerbaLoca	1						
228	MC	3dyl	dispersor 	YerbaLoca	1						
229	MC	4dyl	dispersor 	YerbaLoca	1						
230	MC	4dyl	dispersor 	YerbaLoca	1						
231	MC	4dyl	dispersor 	YerbaLoca	1						
232	MC	4dyl	dispersor 	YerbaLoca	1						
233	MC	5dyl	dispersor 	YerbaLoca	1						
234	MC	5dyl	dispersor 	YerbaLoca	0						
235	MC	5dyl	dispersor 	YerbaLoca	1						
236	MC	5dyl	dispersor 	YerbaLoca	1						
237	MC	1hyl	handcleaned 	YerbaLoca	1						
238	MC	1hyl	handcleaned 	YerbaLoca	0						
239	MC	1hyl	handcleaned 	YerbaLoca	0						
240	MC	1hyl	handcleaned 	YerbaLoca	1						
241	MC	2hyl	handcleaned 	YerbaLoca	1						
242	MC	2hyl	handcleaned 	YerbaLoca	1						
243	MC	2hyl	handcleaned 	YerbaLoca	1						
244	MC	2hyl	handcleaned 	YerbaLoca	1						
245	MC	3hyl	handcleaned 	YerbaLoca	1						
246	MC	3hyl	handcleaned 	YerbaLoca	1						
247	MC	3hyl	handcleaned 	YerbaLoca	1						
248	MC	3hyl	handcleaned 	YerbaLoca	1						
249	MC	4hyl	handcleaned 	YerbaLoca	1						
250	MC	4hyl	handcleaned 	YerbaLoca	1						
251	MC	4hyl	handcleaned 	YerbaLoca	1						
252	MC	4hyl	handcleaned 	YerbaLoca	1						
253	MC	5hyl	handcleaned 	YerbaLoca	1						
254	MC	5hyl	handcleaned 	YerbaLoca	1						
255	MC	5hyl	handcleaned 	YerbaLoca	1						
256	MC	5hyl	handcleaned 	YerbaLoca	1						
257	MC	1cyl	control	YerbaLoca	0						
258	MC	1cyl	control	YerbaLoca	1						
259	MC	1cyl	control	YerbaLoca	1						
260	MC	1cyl	control	YerbaLoca	1						
261	MC	2cyl	control	YerbaLoca	1						
262	MC	2cyl	control	YerbaLoca	1						
263	MC	2cyl	control	YerbaLoca	1						
264	MC	2cyl	control	YerbaLoca	1						
265	MC	3cyl	control	YerbaLoca	0						
266	MC	3cyl	control	YerbaLoca	1						
267	MC	3cyl	control	YerbaLoca	1						
268	MC	3cyl	control	YerbaLoca	1						
269	MC	4cyl	control	YerbaLoca	0						
270	MC	4cyl	control	YerbaLoca	1						
271	MC	4cyl	control	YerbaLoca	0						
272	MC	4cyl	control	YerbaLoca	1						
273	MC	5cyl	control	YerbaLoca	0						
274	MC	5cyl	control	YerbaLoca	1						
275	MC	5cyl	control	YerbaLoca	1						
276	MC	5cyl	control	YerbaLoca	1						
277	MC	1dlt	dispersor 	LosTilos	1						
278	MC	1dlt	dispersor 	LosTilos	1						
279	MC	1dlt	dispersor 	LosTilos	1						
280	MC	1dlt	dispersor 	LosTilos	1						
281	MC	2dlt	dispersor 	LosTilos	1						
282	MC	2dlt	dispersor 	LosTilos	1						
283	MC	2dlt	dispersor 	LosTilos	1						
284	MC	2dlt	dispersor 	LosTilos	1						
285	MC	3dlt	dispersor 	LosTilos	1						
286	MC	3dlt	dispersor 	LosTilos	1						
287	MC	3dlt	dispersor 	LosTilos	0						
288	MC	3dlt	dispersor 	LosTilos	1						
289	MC	4dlt	dispersor 	LosTilos	1						
290	MC	4dlt	dispersor 	LosTilos	1						
291	MC	4dlt	dispersor 	LosTilos	1						
292	MC	4dlt	dispersor 	LosTilos	1						
293	MC	5dlt	dispersor 	LosTilos	1						
294	MC	5dlt	dispersor 	LosTilos	1						
295	MC	5dlt	dispersor 	LosTilos	1						
296	MC	5dlt	dispersor 	LosTilos	1						
297	MC	1hlt	handcleaned 	LosTilos	1						
298	MC	1hlt	handcleaned 	LosTilos	1						
299	MC	1hlt	handcleaned 	LosTilos	1						
300	MC	1hlt	handcleaned 	LosTilos	1						
301	MC	2hlt	handcleaned 	LosTilos	1						
302	MC	2hlt	handcleaned 	LosTilos	1						
303	MC	2hlt	handcleaned 	LosTilos	1						
304	MC	2hlt	handcleaned 	LosTilos	1						
305	MC	3hlt	handcleaned 	LosTilos	1						
306	MC	3hlt	handcleaned 	LosTilos	1						
307	MC	3hlt	handcleaned 	LosTilos	1						
308	MC	3hlt	handcleaned 	LosTilos	1						
309	MC	4hlt	handcleaned 	LosTilos	1						
310	MC	4hlt	handcleaned 	LosTilos	1						
311	MC	4hlt	handcleaned 	LosTilos	1						
312	MC	4hlt	handcleaned 	LosTilos	1						
313	MC	5hlt	handcleaned 	LosTilos	1						
314	MC	5hlt	handcleaned 	LosTilos	1						
315	MC	5hlt	handcleaned 	LosTilos	1						
316	MC	5hlt	handcleaned 	LosTilos	1						
317	MC	1clt	control	LosTilos	0						
318	MC	1clt	control	LosTilos	0						
319	MC	1clt	control	LosTilos	1						
320	MC	1clt	control	LosTilos	1						
321	MC	2clt	control	LosTilos	1						
322	MC	2clt	control	LosTilos	0						
323	MC	2clt	control	LosTilos	0						
324	MC	2clt	control	LosTilos	1						
325	MC	3clt	control	LosTilos	1						
326	MC	3clt	control	LosTilos	1						
327	MC	3clt	control	LosTilos	1						
328	MC	3clt	control	LosTilos	0						
329	MC	4clt	control	LosTilos	1						
330	MC	4clt	control	LosTilos	1						
331	MC	4clt	control	LosTilos	1						
332	MC	4clt	control	LosTilos	1						
333	MC	5clt	control	LosTilos	0						
334	MC	5clt	control	LosTilos	0						
335	MC	5clt	control	LosTilos	0						
336	MC	5clt	control	LosTilos	0						
337	MC	1dil	dispersor 	Illapel	1						
338	MC	1dil	dispersor 	Illapel	1						
339	MC	1dil	dispersor 	Illapel	1						
340	MC	1dil	dispersor 	Illapel	1						
341	MC	2dil	dispersor 	Illapel	1						
342	MC	2dil	dispersor 	Illapel	1						
343	MC	2dil	dispersor 	Illapel	1						
344	MC	2dil	dispersor 	Illapel	1						
345	MC	3dil	dispersor 	Illapel	1						
346	MC	3dil	dispersor 	Illapel	1						
347	MC	3dil	dispersor 	Illapel	1						
348	MC	3dil	dispersor 	Illapel	1						
349	MC	4dil	dispersor 	Illapel	1						
350	MC	4dil	dispersor 	Illapel	1						
351	MC	4dil	dispersor 	Illapel	1						
352	MC	4dil	dispersor 	Illapel	1						
353	MC	5dil	dispersor 	Illapel	1						
354	MC	5dil	dispersor 	Illapel	1						
355	MC	5dil	dispersor 	Illapel	1						
356	MC	5dil	dispersor 	Illapel	1						
357	MC	1hil	handcleaned 	Illapel	1						
358	MC	1hil	handcleaned 	Illapel	0						
359	MC	1hil	handcleaned 	Illapel	0						
360	MC	1hil	handcleaned 	Illapel	1						
361	MC	2hil	handcleaned 	Illapel	1						
362	MC	2hil	handcleaned 	Illapel	1						
363	MC	2hil	handcleaned 	Illapel	1						
364	MC	2hil	handcleaned 	Illapel	1						
365	MC	3hil	handcleaned 	Illapel	1						
366	MC	3hil	handcleaned 	Illapel	1						
367	MC	3hil	handcleaned 	Illapel	1						
368	MC	3hil	handcleaned 	Illapel	1						
369	MC	4hil	handcleaned 	Illapel	1						
370	MC	4hil	handcleaned 	Illapel	1						
371	MC	4hil	handcleaned 	Illapel	1						
372	MC	4hil	handcleaned 	Illapel	0						
373	MC	5hil	handcleaned 	Illapel	1						
374	MC	5hil	handcleaned 	Illapel	1						
375	MC	5hil	handcleaned 	Illapel	1						
376	MC	5hil	handcleaned 	Illapel	1						
377	MC	1cil	control	Illapel	0						
378	MC	1cil	control	Illapel	0						
379	MC	1cil	control	Illapel	0						
380	MC	1cil	control	Illapel	0						
381	MC	2cil	control	Illapel	1						
382	MC	2cil	control	Illapel	1						
383	MC	2cil	control	Illapel	1						
384	MC	2cil	control	Illapel	0						
385	MC	3cil	control	Illapel	1						
386	MC	3cil	control	Illapel	1						
387	MC	3cil	control	Illapel	0						
388	MC	3cil	control	Illapel	1						
389	MC	4cil	control	Illapel	1						
390	MC	4cil	control	Illapel	0						
391	MC	4cil	control	Illapel	1						
392	MC	4cil	control	Illapel	1						
393	MC	5cil	control	Illapel	0						
394	MC	5cil	control	Illapel	0						
395	MC	5cil	control	Illapel	0						
396	MC	5cil	control	Illapel	0						
